url_length,domain_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,questionmark_count,equal_count,at_count,and_count,exclamation_count,space_count,tilde_count,comma_count,plus_count,asterisk_count,hashtag_count,dollar_count,percent_count,has_ip,has_https,has_http,subdomain_count,suspicious_keywords,digit_count,letter_count,domain_token_count,path_token_count,url_entropy,url,label
32,16,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,3,1,3.9681390622295662,https://www.linkedin.com/contact,0
29,16,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,3,1,4.1162646156680225,https://www.linkedin.com/blog,0
27,14,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21,3,1,3.7080481500712317,https://www.google.com/blog,0
27,14,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21,3,1,3.7080481500712312,https://www.google.com/help,0
29,13,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,3,1,3.71937582241537,https://www.apple.com/contact,0
33,17,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,27,3,1,3.737745165456522,https://www.microsoft.com/contact,0
30,14,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,3,1,3.8444138295776114,https://www.github.com/contact,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,3,0,3.9701755214643453,https://www.linkedin.com,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,3,0,3.9701755214643453,https://www.linkedin.com,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,3,0,3.9701755214643453,https://www.linkedin.com,0
30,14,8,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,3,1,3.8444138295776114,https://www.github.com/contact,0
31,14,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25,3,1,3.9292144551992183,https://www.google.com/services,0
34,17,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,28,3,1,3.8588029144615947,https://www.microsoft.com/services,0
30,13,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,3,1,3.9144093452479405,https://www.apple.com/services,0
30,17,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,3,1,3.8980685120588388,https://www.microsoft.com/blog,0
27,14,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21,3,1,3.9302703722934544,https://www.amazon.com/blog,0
29,16,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,3,1,4.1162646156680225,https://www.linkedin.com/blog,0
33,16,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,27,3,1,4.058656997752975,https://www.facebook.com/services,0
27,14,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21,3,1,3.85619629821938,https://www.github.com/blog,0
34,21,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,28,3,1,4.02085512047121,https://www.stackoverflow.com/help,0
31,14,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25,3,1,4.018081793978685,https://www.github.com/services,0
29,16,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,3,1,4.1162646156680225,https://www.linkedin.com/blog,0
25,17,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20,3,0,3.813660689688185,https://www.wikipedia.org,0
